Lp.,x1(0),x2(0),x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,H_calls
15,1.6385,-1.80552,0.00018874,-0.000455658,1.92869e-07,18,18,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
16,-1.37609,-0.604173,-1.3518,0.875808,0.748633,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
17,1.54271,1.86606,0.00019277,-0.000465388,2.01194e-07,20,20,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
18,-0.223251,0.672842,-0.000235794,0.000569256,3.01023e-07,15,15,,-0.000126653,0.000380092,1.28412e-07,9,9,,-0.000126653,0.000380092,1.28412e-07,9,9,0
19,1.99427,-1.97967,1.62093,-0.872518,0.376326,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
20,1.46916,1.24368,1.31524,-0.872985,0.794339,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
21,1.51283,-1.85595,0.000186966,-0.000451375,1.8926e-07,18,18,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
22,0.307622,-1.46079,0.000189656,-0.000457871,1.94747e-07,17,17,,3.74635e-05,-0.00023219,4.80207e-08,10,10,,3.74635e-05,-0.00023219,4.80207e-08,10,10,0
23,0.725145,-1.1972,0.000149479,-0.000360873,1.20974e-07,18,18,,-0.000169543,0.000325587,1.08295e-07,10,10,,-0.000169543,0.000325587,1.08295e-07,10,10,0
24,0.131477,-0.250669,0.000153214,-0.000369891,1.27096e-07,14,14,,0.000135189,-0.000399471,1.42125e-07,8,8,,0.000135189,-0.000399471,1.42125e-07,8,8,0
25,-1.1416,-1.4203,-0.000176157,0.000425281,1.6801e-07,13,13,,-0.000241516,0.000471036,2.24772e-07,10,10,,-0.000241516,0.000471036,2.24772e-07,10,10,0
26,-0.18604,0.816668,-0.000166196,0.000401233,1.49547e-07,16,16,,-0.000118527,0.000402416,1.42339e-07,9,9,,-0.000118527,0.000402416,1.42339e-07,9,9,0
27,1.35501,1.81703,0.000148585,-0.000358715,1.19532e-07,17,17,,3.05996e-05,-0.000204761,3.75342e-08,16,16,,3.05996e-05,-0.000204761,3.75342e-08,16,16,0
28,0.928057,0.0178402,0.000219766,-0.000530561,2.6149e-07,16,16,,0.000188944,-0.00031487,1.1105e-07,16,16,,0.000188944,-0.00031487,1.1105e-07,16,16,0
29,0.479021,0.926111,-0.000197722,0.000477344,2.11664e-07,15,15,,-0.000133277,0.000474383,1.9734e-07,9,9,,-0.000133277,0.000474383,1.9734e-07,9,9,0
30,-0.313838,1.40962,-0.000183209,0.000442304,1.8173e-07,17,17,,-3.86572e-05,0.000249233,5.54712e-08,10,10,,-3.86572e-05,0.000249233,5.54712e-08,10,10,0
31,1.95029,-1.38052,1.43756,-0.862335,0.623812,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
32,-1.66489,-1.13206,-1.73853,0.845958,0.299649,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
33,1.95003,0.884905,0.000176986,-0.000427281,1.69594e-07,15,15,,0.000137705,-0.00025849,6.91469e-08,10,10,,0.000137705,-0.00025849,6.91469e-08,10,10,0
34,1.41669,-0.891928,1.5119,-0.754876,0.504518,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
35,1.62418,1.87533,0.000203635,-0.000491617,2.24511e-07,20,20,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
36,1.79973,-1.27163,1.33863,-0.887473,0.77089,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
37,0.310145,-0.128941,0.000230366,-0.000556152,2.87323e-07,13,13,,0.000130496,-0.000536709,2.52077e-07,8,8,,0.000130496,-0.000536709,2.52077e-07,8,8,0
38,0.254588,0.606989,-0.000148515,0.000358548,1.19421e-07,15,15,,-0.000112243,0.000387134,1.31616e-07,9,9,,-0.000112243,0.000387134,1.31616e-07,9,9,0
39,-1.17732,1.89309,-0.000233179,0.000562943,2.94383e-07,20,20,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
40,-0.252223,0.949778,-0.000198896,0.000480178,2.14185e-07,16,16,,-0.000140904,0.000470641,1.94896e-07,9,9,,-0.000140904,0.000470641,1.94896e-07,9,9,0
41,0.153479,1.9088,-0.0002261,0.000545853,2.7678e-07,17,17,,-4.67138e-05,0.000444695,1.81345e-07,9,9,,-4.67138e-05,0.000444695,1.81345e-07,9,9,0
42,1.85418,0.360611,1.26198,-0.88745,0.862871,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
43,1.61464,-1.63157,0.000210863,-0.000509068,2.40733e-07,18,18,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
44,-1.63717,-0.606565,-1.40848,0.863704,0.666027,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
45,-1.65619,-0.757869,-1.28243,0.882667,0.837758,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
46,-0.770827,1.64527,-0.000168801,0.000407522,1.54272e-07,19,19,,8.1938e-05,0.000160961,5.25249e-08,16,16,,8.1938e-05,0.000160961,5.25249e-08,16,16,0
47,-0.47368,0.202947,-0.000237766,0.000574017,3.06079e-07,14,14,,-4.49516e-05,-0.00027844,9.40865e-08,9,9,,-4.49516e-05,-0.00027844,9.40865e-08,9,9,0
48,0.155929,1.18063,-0.000209723,0.000506315,2.38136e-07,16,16,,-7.23911e-05,0.000271224,6.44094e-08,10,10,,-7.23911e-05,0.000271224,6.44094e-08,10,10,0
49,-1.36918,1.3704,-1.77466,0.867664,0.30352,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
50,0.132753,-0.301088,0.000178813,-0.000431692,1.73114e-07,14,14,,0.000186915,-0.000469503,2.0255e-07,8,8,,0.000186915,-0.000469503,2.0255e-07,8,8,0
51,0.529557,-1.31593,0.00020043,-0.000483882,2.17502e-07,17,17,,0.000145976,-0.000476027,1.99731e-07,9,9,,0.000145976,-0.000476027,1.99731e-07,9,9,0
52,1.38704,0.134291,1.5818,-0.860088,0.420668,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
53,-1.55379,0.454805,-1.71669,0.828656,0.304769,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
54,-1.48144,-1.89588,-0.000158791,0.000383356,1.36518e-07,19,19,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
55,1.27616,0.0639204,1.81023,-0.80586,0.334052,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
56,0.397066,1.61242,-0.000162094,0.00039133,1.42256e-07,17,17,,-7.38635e-05,0.000360057,1.13957e-07,10,10,,-7.38635e-05,0.000360057,1.13957e-07,10,10,0
57,-0.0161622,-1.27959,0.000145923,-0.000352289,1.15287e-07,17,17,,5.05451e-05,-0.00027308,6.58796e-08,10,10,,5.05451e-05,-0.00027308,6.58796e-08,10,10,0
58,-1.43102,0.195842,-1.69461,0.766011,0.320081,10001,10001,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
59,0.268104,-0.980852,0.00020688,-0.000499452,2.31724e-07,16,16,,0.000145883,-0.000485978,2.07842e-07,9,9,,0.000145883,-0.000485978,2.07842e-07,9,9,0
